,Classifier OUTC,MCC: OUTC,Corr: OUTC,p-v: OUTC,Index: OUTC,Classifier RT_P,MCC: RT_P,Corr: RT_P,p-v: RT_P,Index: RT_P,Classifier Dece,MCC: Dece,Corr: Dece,p-v: Dece,Index: Dece,Representation
0,Random Forest_11,0.3276926197717064,0.32769261977170633,3.102673519726784e-07,61.0,Gradient_17,0.2012292335313899,0.20122923353138988,0.0012075625111654749,153.0,QDA_01,0.4152433376855634,0.4152433376855635,3.5111506437740777e-13,117.0,1
1,Nearest Neighbors_03,0.32173486970202475,0.3217348697020248,5.201237183278367e-07,2.0,Decision Tree_03,0.16351972821860356,0.16351972821860353,0.008762649000346642,45.0,AdaBoost_18,0.3972149547533681,0.39721495475336815,4.2724649895952576e-12,112.0,1
2,Gaussian Process_02,0.31752228857590714,0.31752228857590714,7.445123081396063e-07,39.0,SVM_29,0.12107306384920773,0.12107306384920773,0.05301334505535001,36.0,Neural Net_07,0.35647892483485943,0.35647892483485955,7.121144986740503e-10,77.0,1
3,Random_Forest_12,0.31628135913009064,0.3162813591300907,8.26618873456272e-07,62.0,Naive Bayes_04,0.08577292558610712,0.08577292558610712,0.1712578218637302,116.0,Naive Bayes_04,0.3225773280109725,0.3225773280109726,2.9941352965718684e-08,116.0,1
4,SVM_07,0.3015579043613586,0.3015579043613586,2.7600270537687697e-06,14.0,AdaBoost_13,0.07613672944156802,0.07613672944156805,0.22475194339793866,107.0,Ridge_02,0.2614898965434315,0.2614898965434315,8.614514904934676e-06,128.0,1
5,Neural Net_12,0.29952146855126816,0.29952146855126816,3.2442878400771875e-06,82.0,Random_Forest_05,-0.013887549490757716,-0.013887549490757716,0.8249958475932392,55.0,Logistic_04,0.23199040931728665,0.23199040931728665,8.415203368036708e-05,121.0,1
6,Gradient_35,0.2879042208244895,0.2879042208244895,7.97130115599963e-06,171.0,Neural Net_01,-0.013887549490757716,-0.013887549490757716,0.8249958475932392,71.0,Gradient_33,0.23199040931728665,0.23199040931728665,8.415203368036708e-05,169.0,1
7,Logistic_03,0.2876839954988719,0.2876839954988719,8.105238321697896e-06,120.0,QDA_01,-0.013887549490757716,-0.013887549490757716,0.8249958475932392,117.0,SVM_13,0.2301989731868349,0.2301989731868349,9.577779262501646e-05,20.0,1
8,Ridge_06,0.27515010936637274,0.2751501093663727,2.0451004591648924e-05,132.0,Logistic_01,-0.013887549490757716,-0.013887549490757716,0.8249958475932392,118.0,Bagging_03,0.21967326045695604,0.21967326045695604,0.00020074821425703504,135.0,1
9,QDA_01,0.2665169204690556,0.2665169204690556,3.770504438706002e-05,117.0,Ridge_03,-0.013887549490757716,-0.013887549490757716,0.8249958475932392,129.0,Gaussian Process_03,0.2050794639684147,0.2050794639684147,0.0005292879850888147,40.0,1
